Class,Title,Description,BodyText,ImageSrc,ImageSrc2,Caption,Caption2,Link,Keywords,
left,"Hoberman, Perry","USA, installation, new media art","Perry Hoberman is an installation and media artist who works with a variety of materials and technologies, ranging from the obsolete to the state-of-the-art, from low-tech to high-tech and nearly everything in between. His work has variously taken the form of installations, sculptures, multimedia, performances, concerts, plays and uncategorisable spectacles, such as Faraday’s Garden, Empty Orchestra Cafe and Bar Code Hotel. In 1998, the ZKM presented Unexpected Obstacles, a retrospective survey of his work. He was Art Director at Telepresence Research (http://telepresence.com/), a company specialising in virtual reality and telepresence installations for arts and industry, that existed until 1998.",https://digitalartarchive.siggraph.org/wp-content/uploads/2017/10/2005_Hoberman_MyLifeInSpamOneDayDecember112002.jpg,,"My Life In Spam One Day (December 11, 2002), 2005",,https://v2.nl/people/perry-hoberman,"Data, Language, Digital Culture, Human’s Life, Programming for Serendipity",
left,,"Perry Hoberman, My Life in Spam, 2005","The series My Life in Spam consists of various attempts to creatively visualize the ever-increasing onslaught of unsolicited email messages commonly known as spam. According to the artist, ""Since I began archiving my own spam in 1998, I have amassed a collection of more than 50,000 useless, often offensive messages. I now receive more spam in an hour than I received in a month in 1998, and at the current rate of increase, I expect to be receiving about a thousand a day by the end of 2006. While each individual spam message is essentially anonymous and impersonal, the aggregate functions as some kind of degraded, degenerate depiction of me, and thus these works are some species of self-portrait: the artist as a sex-obsessed, Viagra-craving, mortgage-hungry cretin who can’t spell. The prints in My Life in Spam consist of superimposed images of every spam message that I have received over a given period of time. Depending on the dates and the length of time represented in each print (usually a day, week, or month), the images range from faint lines of partially legible text to intricate washes of intense colour. If the volume of spam is low, the result is a kind of recombinant cutup of multiple sales pitches. As the rate of spam increases, the individual messages melt together into dense gradients of colour. Thus, each print functions as a visualisation but also as an attempt to transform an utterly debased form of communication into something attractive, even beautiful.""",https://digitalartarchive.siggraph.org/wp-content/uploads/2017/10/2005_Hoberman_MyLifeInSpamOneWeekNovember1-301998.jpg,,"My Life In Spam One Week (November 1-30, 1998, 2005",,https://digitalartarchive.siggraph.org/artwork/perry-a-hoberman-my-life-in-spam-one-day-december-11-2002/,"Data, Language, Digital Culture, Human’s Life",
leftDoubleImage,,"Perry Hoberman, Bar Code Hotel, 1994","In Bar Code Hotel, the visitors get a pair of 3D glasses and can then find a spot behind one of the long tables plastered with bar codes. On a large projection wall appears a space that can be filled by running the lightpen over a bar code. An engine, a radio, a strange porcupine sphere, a lightbulb surrounded by pulsating globes or a rolling spiral. The ugly black and white bars appear to be digitally connected with the most wondrous shapes. Everything seems to be possible. Some of the bar codes have the word ‘jump’ or ‘flee’, and with those, the audience can send the fantastic objects every which way. Other commands hidden in black and white make the whole room grow smaller or larger, turn 360 degrees, or change colour completely from brown to speckled brown to bright purple. Hoberman recorded the reactions of his audience on video. Children, old age pensioners and everything in between have loads of fun and intently stare at the screen. Hoberman’s black-and-white physical world has become nothing but an interface. A useful tool that only serves to inhabit Hoberman’s wonderful virtual world.",https://zkm.de/sites/default/files/bild/MM_00053_hoberman_bar-code-hotel_005.jpg,https://live.staticflickr.com/2006/1795667028_47c34c587b_b.jpg,"Bar Code Hotel, 1994",,https://test.v2.nl/works/bar-code-hotel,"Data, Human’s Life, Programming for Serendipity",
left,"Lialina, Olia","Russia, HTML, GIF, net art ","Born in Moscow in 1971 and now based in Germany, Olia Lialina is among the best-known participants in the 1990s net.art scene - an early-days, network-based art pioneer. Her early work had a great impact on recognizing the Internet as a medium for artistic expression and storytelling. This century, her continuous and close attention to Internet architecture, ""net.language"" and vernacular web - in both artistic and publishing projects - has made her an important voice in contemporary art and new media theory. Lialina is also known for using herself as a GIF model and is credited with founding one of the earliest web galleries, Art Teleportacia. She is the co-founder and keeper of One Terabyte of Kilobyte Age archive and a professor at Merz Akademie in Stuttgart, Germany.",https://anthology.rhizome.org/user/pages/04.my-boyfriend-came-back-from-the-war/3-MBCBFTW_7217.jpg,,"My Boyfriend Came Back from the War, 1996",,https://www.roehrsboetsch.com/artists/detail/olia-lialina/about/,"Website, Language, Communication, Human’s Life",
leftDoubleImage,,"Olia Lialina, My Boyfriend Came Back from the War, 1996","Olia Lialina’s My Boyfriend Came Back from the War uses basic elements of HTML to relay an evocative, cinematic narrative. The work tells the story of a young woman reuniting with her sweetheart after his return from a faraway conflict. With its use of browser frames, hypertext, and images (both animated and still), My Boyfriend Came Back from the War highlights the parallels and divergences between cinema and the web as artistic and mass mediums and explores the then-emerging language of the net. Lialina aptly uses the web to interrogate our understanding of the production and organization of memory, a question that structures her practice to this day. In keeping with this, she considers the numerous artistic remakes and remixes of the piece an extension of her initial investigation.",https://elit.jeffreymoro.com/assets/img/lialina2@2x.jpg,https://64.media.tumblr.com/0165b60b3105b2e51f0ef8d69475a13f/tumblr_inline_p3m1oasya41qz4b6v_1280.jpg ,"My Boyfriend Came Back from the War, 1996",,https://anthology.rhizome.org/my-boyfriend-came-back-from-the-war,"Website, Language, Communication, Human’s Life",
leftDoubleImage,,"Olia Lialina, Agatha Appears, 1997","Agatha Appears is a net artwork that tells the story of Agatha, a lost woman who meets a man who introduces her to the Internet. The reader progresses the narrative by reading the link title attributes and clicking on various elements on the webpages. Agatha and the reader teleport from URL to URL together, experiencing a shared journey through the spatial vastness of the internet.",https://fragile.net.pl/wp-content/uploads/2014/10/2014-09-08_102724.jpg,https://resopolis.univ-fcomte.fr/wp-content/uploads/Capture-dCcran-Olia-Lialina.jpg,"Agatha Appears, 1997",,https://artbase.rhizome.org/wiki/Q1615,"Website, Language, Communication, Human’s Life",
left,"McCarthy, Lauren Lee","USA, performance, creator of P5js","Lauren Lee McCarthy is an artist examining social relationships in the midst of automation, surveillance, and algorithmic living. McCarthy is also the creator of p5.js, an open-source art and education platform that prioritises access and diversity in learning to code, with over 10 million users. According to the artist: ""I am working with performance, software, electronics, internet, film, photography, installation. My work exists within and beyond the gallery, seeking edges of art and media performance. There are different layers of experience, from the intimate performance to a much wider audience invited in through the ripples of viral videos and media coverage. Each work feels like an attempt to hack my way out of myself and into closeness with others. I am embodying machines, trying to understand that distance between the algorithm and myself, the distance between others and me. There’s humour in the breakdown, and also moments of clarity. Who builds these artificial systems, what values do they embody? Who is prioritised and who is targeted as race, gender, disability, and class are programmatically encoded? Where are the boundaries around our intimate spaces? In the midst of always on networked interfaces, what does it mean to be truly present?""",https://freight.cargo.site/w/2000/q/75/i/b56ac26ca0f04d64fa983d00640e99dd1d00ed72e972f713100db4a5ce0195d7/IBG_1223.jpg,,"LAUREN, 2017-",,https://lauren-mccarthy.com/,"P5js, Identity, Existence, Human’s Life, Human to Computer",
leftDoubleImage,,"Lauren Lee McCarthy, LAUREN, 2017-","LAUREN is a meditation on the smart home, the tensions between intimacy vs privacy, convenience vs agency they present, and the role of human labor in the future of automation. According to the artist, ""I attempt to become a human version of Amazon Alexa, a smart home intelligence for people in their own homes. The performance lasts up to a week. It begins with an installation of a series of custom designed networked smart devices (including cameras, microphones, switches, door locks, faucets, and other electronic devices). I then remotely watch over the person 24/7 and control all aspects of their home. I aim to be better than an AI because I can understand them as a person and anticipate their needs. The relationship that emerges falls in the ambiguous space between human-machine and human-human.""",https://freight.cargo.site/w/2000/q/75/i/99b72aa9f34edf37f19d0700e59382fbff1420a80e7012bbbc313b550294deee/_1290511_edited_o.jpg,https://freight.cargo.site/w/1920/q/75/i/11fb3865f99dd58847bc496726110b97980ca25662729fdbcce031fa9f80dd0d/interface.jpg,"LAUREN, 2017-",,https://lauren-mccarthy.com/LAUREN,"Identity, Existence, Human’s Life, Human to Computer",
leftDoubleImage,,"Lauren Lee McCarthy, The Changing Room, 2021","I see you approaching. I am anticipating your fingers against my interface. Do you know what you want to feel? The Changing Room is a networked installation run by an intelligence that manages your feelings. Inhabitants select from one of over 200 emotions, and the algorithm reacts, inducing the chosen feeling simultaneously for every person in the space. The installation is a software platform that can reconfigure to any space and network.",https://freight.cargo.site/w/2000/q/75/i/8b2ddb8c36672c8607b5c43834d7d255b8a8975c9aad05731d32f8985b8ea45f/20210210_OCA_CamMcLeod_0251.jpg,https://freight.cargo.site/w/2000/q/75/i/018d050f369a8d4c183cb1279759109671ad6d4a9d5c69630fd5eb9757460471/IMG_5441-sm.jpg,"The Changing Room, 2021",,https://lauren-mccarthy.com/The-Changing-Room,"Identity, Existence, Human’s Life",
left,"Napier, Mark","USA, HTML, net art","Mark Napier is recognised as one of the first to explore the potential of the Internet as a space for public art. Breaking boundaries of ownership in early web-based works such as Shredder (1998), Riot (1999), and Feed (2001), Napier questioned fixed designs of web navigation, opened content choices to users, and dissolved information into abstract expression. His recent works investigate monumentality, permanence, skin, the body, obsolescence, mythology, and architecture.",https://www.marknapier.com/presskit/images/shredder/taschen_3_300.png,,"Shredder 1.0, 1998",,https://bitforms.art/artist/mark-napier/#biography-container,"Website, Computer’s Life",
leftDoubleImage,,"Mark Napier, Shredder 1.0, 1998","At a time when the web browser struggled against print metaphors like magazine and newspapter to find it’s own identity, The Shredder revealed the “soft” nature of the web. Markup, text, code, images and links are scattered across the screen like an instant Jackson Pollack. The raw material of the web, revealed, torn and tossed onto a heap. In NY Times published Dec 3, 1998 ,  Matthew Mirapaul commented on this artwork, “transforms the Web page’s text, graphics and underlying HTML code into a mangled but dazzling display.”",https://i2.wp.com/marknapier.com/images/shredder/wired_1_300.png,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEi1Lf5P0R5Ae26LYmdhhq-Y0LTgOQVR-3Guor3nvy4c_S_46Zo74hADFQw5jYZADgDWYTfUIAjgygC3tck5r8l-iSV9FAhi08M1s2Tb8xaah_mbsdlV1fTxfy72lekCeaJh8EOAJ9C9y5yl/s1600/shredder_v1.png,"Shredder 1.0, 1998",,https://www.marknapier.com/portfolio/shredder/,"Website, Computer’s Life",
left,"Neddam, Martine","Netherlands, HTML, net art","Martine Neddam is a visual artist who has been working with internet virtual characters who lead an autonomous artistic existence in which the real author remained invisible. She has been exploring anonymously the concept of online identity through virtual characters such as Mouchette, David Still, XiaoQian, and the shared interface virtualperson.net. With MyDesktopLife she continues investigating identity in a browser by developing an original visual style and an inner voice. She is an artist who uses language as raw material. Since she began as an artist her favorites subjects always were ‘speech acts’, modes of address, words in the public space. Since 1988 she exposed text objects (banners, plaques, shadows on the wall) in museums and galleries. ",https://about.mouchette.org/wp-content/uploads/2024/02/tumblr_3043453b3f5d8800ad15fadc53d399d3_fba33012_1280.jpg,,"Mouchette.org, 1996",,https://www.neddam.info/about/,"Website, Existence, Human’s Life, Human to Computer",
leftDoubleImage,,"Martine Neddam, Mouchette.org, 1996","Mouchette.org is an interactive website created in 1996 by a virtual person, a pseudonymous character, an Amsterdam based artist who calls herself Mouchette. With her innocent salutation and claims to be “nearly thirteen” greeting us from the introduction page, what initially appears as a personal website of a pre-pubescent female artist, evolves into darker themes in the subsequent pages. The creator of the website has been a closely guarded secret. While the use of taboo subject matters are what initially provokes heated reactions, the manipulation of cyber-identity and the ability of the creator to maintain anonymity for so long are the significant reasons this website has garnered its international reputation in the internet art community.",https://about.mouchette.org/wp-content/uploads/2021/05/fears-shows2.jpg,https://about.mouchette.org/wp-content/uploads/2017/01/mere.png,"Mouchette.org, 1996",,https://www.neddam.info/mouchette-org/,"Website, Existence, Human’s Life, Human to Computer",
left,"Rokeby, David","Canada, installation, AI","Born in Tillsonburg, Ontario in 1960, David Rokeby has been creating interactive sound and video installations with computers since 1982. His early work Very Nervous System (1982-1991) is acknowledged as a pioneering work of interactive art, translating physical gestures into real-time interactive sound environments. Very Nervous System was presented at the Venice Biennale in 1986, and was awarded the ï¬rst Petro-Canada Award for Media Arts in 1988 and Austria's Prix Ars Electronica Award of Distinction for Interactive Art in 1991. Several of his works have addressed issues of digital surveillance, including Watch (1995), Taken (2002), and Sorting Daemon (2003). Taken was exhibited at the Witney Museum of American Art in New York in 2007. Another of his surveillance works, Watched and Measured (2000) was awarded the ï¬rst BAFTA award for interactive art from the British Academy of Film and Television Arts in 2000. Other works engage in a critical examination of the differences between human and artiï¬cial intelligence. The Giver of Names (1991-) and n-cha(n)t (2001) are artiï¬cial subjective entities, provoked by objects or spoken words in their immediate environment to formulate sentences and speak them aloud.",https://cdn.fact.co.uk/uploads/images/_extraLargeNoCrop/DSC_0250.JPG?v=1696924973,,"The Giver of Names, 1990-",,http://www.davidrokeby.com/cv.html,"Existence, Language, Computer’s Life",
leftDoubleImage,,"David Rokeby, The Giver of Names, 1990-","The Giver of Names is quite simply, a computer system that gives objects names. The installation includes an empty pedestal, a video camera, a computer system and a small video projection. The camera observes the top of the pedestal. The installation space is full of ""stuff""... objects of many sorts. The gallery visitor can choose an object or set of objects from those in the space, or anything they might have with them, and place them on the pedestal. When an object is placed on the pedestal, the computer grabs an image. It then performs many levels of image processing (outline analysis, division into separate objects or parts, colour analysis, texture analysis, etc.) These processes are visible on the life-size video projection above the pedestal. In the projection, the objects make the transition from real to imaged to increasingly abstracted as the system tries to make sense of them. The results of the analytical processes are then 'radiated' through a metaphorically-linked associative database of known objects, ideas, sensations, etc. The words and ideas stimulated by the object(s) appear in the background of the computer screen, showing what could very loosely be described as a 'state of mind'. From the words and ideas that resonate most with the perceptions of the object, a phrase or sentence in correct English is constructed and then spoken aloud by the computer.",https://esse.ca/wp-content/uploads/2022/03/93_DO05_LeBlanc_Rokeby_Giver_Of_Names3.jpg,https://agnes.queensu.ca/site/uploads/2017/09/4_2000_David-Rokeby-the-GON_22sep12_Litherland-7-1440x961.jpg,"The Giver of Names, 1990-",,http://www.davidrokeby.com/gon.html,"Existence, Language, Computer’s Life",
